Day,Inventory,Daily Demand,Fulfilled Demand,Stockouts,Orders Placed,Supplier Used,Daily Holding Cost,Daily Stockout Cost,Daily Revenue,Total Supplier Cost,Cumulative Revenue,Cumulative Costs,Cumulative Profit,ROI
0,93,7,7,0,0,,46.5,0,350,0,350,46.5,303.5,652.6881720430108
1,89,4,4,0,0,,44.5,0,550,0,900,91.0,809.0,889.0109890109891
2,69,20,20,0,0,,34.5,0,1550,0,2450,125.5,2324.5,1852.191235059761
3,60,9,9,0,0,,30.0,0,2000,0,4450,155.5,4294.5,2761.7363344051446
4,52,8,8,0,0,,26.0,0,2400,0,6850,181.5,6668.5,3674.104683195592
5,37,15,15,0,0,,18.5,0,3150,0,10000,200.0,9800.0,4900.0
6,17,20,20,0,0,,8.5,0,4150,0,14150,208.5,13941.5,6686.570743405275
7,0,35,35,18,0,,0.0,180,5900,0,20050,388.5,19661.5,5060.875160875161
8,0,20,20,38,0,,0.0,380,6900,0,26950,768.5,26181.5,3406.8314899154198
9,0,23,23,61,0,,0.0,610,8050,0,35000,1378.5,33621.5,2438.9916575988395
10,100,10,10,71,1,Normal,50.0,710,8550,0,43550,2138.5,41411.5,1936.4741641337384
11,62,38,38,71,1,Normal,31.0,710,10450,0,54000,2879.5,51120.5,1775.3255773571802
12,56,6,6,71,1,Normal,28.0,710,10750,0,64750,3617.5,61132.5,1689.9101589495508
13,38,18,18,71,1,Normal,19.0,710,11650,0,76400,4346.5,72053.5,1657.7361095134015
14,38,0,0,71,1,Normal,19.0,710,11650,0,88050,5075.5,82974.5,1634.8044527632744
15,36,2,2,71,1,Normal,18.0,710,11750,0,99800,5803.5,93996.5,1619.6519341776516
16,18,18,18,71,1,Normal,9.0,710,12650,0,112450,6522.5,105927.5,1624.0321962437715
17,100,27,27,80,2,Normal,50.0,800,14000,0,126450,7372.5,119077.5,1615.1576805696845
18,79,21,21,80,2,Normal,39.5,800,15050,0,141500,8212.0,133288.0,1623.0881636629324
19,74,5,5,80,2,Normal,37.0,800,15300,0,156800,9049.0,147751.0,1632.7881533871146
20,67,7,7,80,2,Normal,33.5,800,15650,0,172450,9882.5,162567.5,1645.00379458639
21,56,11,11,80,2,Normal,28.0,800,16200,0,188650,10710.5,177939.5,1661.3556790065822
22,44,12,12,80,2,Normal,22.0,800,16800,0,205450,11532.5,193917.5,1681.4871016691957
23,42,2,2,80,2,Normal,21.0,800,16900,0,222350,12353.5,209996.5,1699.8947666653175
24,40,2,2,80,2,Normal,20.0,800,17000,0,239350,13173.5,226176.5,1716.9051504915171
25,24,16,16,80,2,Normal,12.0,800,17800,0,257150,13985.5,243164.5,1738.690071860141
26,124,0,0,80,3,Normal,62.0,800,17800,0,274950,14847.5,260102.5,1751.8269068866812
27,115,9,9,80,3,Normal,57.5,800,18250,0,293200,15705.0,277495.0,1766.9213626233684
28,101,14,14,80,3,Normal,50.5,800,18950,0,312150,16555.5,295594.5,1785.4761257588113
29,90,11,11,80,3,Normal,45.0,800,19500,0,331650,17400.5,314249.5,1805.9797132266315
30,87,3,3,80,3,Normal,43.5,800,19650,0,351300,18244.0,333056.0,1825.564569173427
31,70,17,17,80,3,Normal,35.0,800,20500,0,371800,19079.0,352721.0,1848.7394517532366
32,36,34,34,80,3,Normal,18.0,800,22200,0,394000,19897.0,374103.0,1880.19801980198
33,17,19,19,80,3,Normal,8.5,800,23150,0,417150,20705.5,396444.5,1914.6820892999444
34,10,7,7,80,3,Normal,5.0,800,23500,0,440650,21510.5,419139.5,1948.5344366704635
35,0,18,18,88,3,Normal,0.0,880,24400,0,465050,22390.5,442659.5,1976.9969406668008
36,100,14,14,102,4,Normal,50.0,1020,25100,0,490150,23460.5,466689.5,1989.256409709938
37,69,31,31,102,4,Normal,34.5,1020,26650,0,516800,24515.0,492285.0,2008.0970834183152
38,61,8,8,102,4,Normal,30.5,1020,27050,0,543850,25565.5,518284.5,2027.2809059083531
39,61,0,0,102,4,Normal,30.5,1020,27050,0,570900,26616.0,544284.0,2044.950405770965
40,57,4,4,102,4,Normal,28.5,1020,27250,0,598150,27664.5,570485.5,2062.157277377144
41,36,21,21,102,4,Normal,18.0,1020,28300,0,626450,28702.5,597747.5,2082.562494556223
42,34,2,2,102,4,Normal,17.0,1020,28400,0,654850,29739.5,625110.5,2101.953630693186
43,29,5,5,102,4,Normal,14.5,1020,28650,0,683500,30774.0,652726.0,2121.0307402352637
44,9,20,20,102,4,Normal,4.5,1020,29650,0,713150,31798.5,681351.5,2142.715851376637
45,109,0,0,102,5,Normal,54.5,1020,29650,0,742800,32873.0,709927.0,2159.6051470811913
46,105,4,4,102,5,Normal,52.5,1020,29850,0,772650,33945.5,738704.5,2176.148532206036
47,105,0,0,102,5,Normal,52.5,1020,29850,0,802500,35018.0,767482.0,2191.6785653092697
48,97,8,8,102,5,Normal,48.5,1020,30250,0,832750,36086.5,796663.5,2207.649675086251
49,84,13,13,102,5,Normal,42.0,1020,30900,0,863650,37148.5,826501.5,2224.858338829293
50,84,0,0,102,5,Normal,42.0,1020,30900,0,894550,38210.5,856339.5,2241.1104277620025
51,84,0,0,102,5,Normal,42.0,1020,30900,0,925450,39272.5,886177.5,2256.4835444649566
52,84,0,0,102,5,Normal,42.0,1020,30900,0,956350,40334.5,916015.5,2271.04711847178
53,84,0,0,102,5,Normal,42.0,1020,30900,0,987250,41396.5,945853.5,2284.863454639885
54,84,0,0,102,5,Normal,42.0,1020,30900,0,1018150,42458.5,975691.5,2297.98862418597
55,74,10,10,102,5,Normal,37.0,1020,31400,0,1049550,43515.5,1006034.5,2311.899208328067
56,61,13,13,102,5,Normal,30.5,1020,32050,0,1081600,44566.0,1037034.0,2326.962258223758
57,53,8,8,102,5,Normal,26.5,1020,32450,0,1114050,45612.5,1068437.5,2342.422581529186
58,30,23,23,102,5,Normal,15.0,1020,33600,0,1147650,46647.5,1101002.5,2360.2604641191915
59,24,6,6,102,5,Normal,12.0,1020,33900,0,1181550,47679.5,1133870.5,2378.109040572993
60,24,0,0,102,5,Normal,12.0,1020,33900,0,1215450,48711.5,1166738.5,2395.2013384929637
61,18,6,6,102,5,Normal,9.0,1020,34200,0,1249650,49740.5,1199909.5,2412.339039615605
62,111,7,7,102,6,Normal,55.5,1020,34550,0,1284200,50816.0,1233384.0,2427.1568010075566
63,83,28,28,102,6,Normal,41.5,1020,35950,0,1320150,51877.5,1268272.5,2444.744831574382
64,83,0,0,102,6,Normal,41.5,1020,35950,0,1356100,52939.0,1303161.0,2461.6275335763803
65,81,2,2,102,6,Normal,40.5,1020,36050,0,1392150,53999.5,1338150.5,2478.079426661358
66,67,14,14,102,6,Normal,33.5,1020,36750,0,1428900,55053.0,1373847.0,2495.498882894665
67,53,14,14,102,6,Normal,26.5,1020,37450,0,1466350,56099.5,1410250.5,2513.837912993877
68,28,25,25,102,6,Normal,14.0,1020,38700,0,1505050,57133.5,1447916.5,2534.268861526075
69,9,19,19,102,6,Normal,4.5,1020,39650,0,1544700,58158.0,1486542.0,2556.040441555762
70,0,21,21,114,6,Normal,0.0,1140,40700,0,1585400,59298.0,1526102.0,2573.614624439273
71,0,14,14,128,6,Normal,0.0,1280,41400,0,1626800,60578.0,1566222.0,2585.463369540097
72,100,33,33,161,7,Normal,50.0,1610,43050,0,1669850,62238.0,1607612.0,2583.00716604004
73,96,4,4,161,7,Normal,48.0,1610,43250,0,1713100,63896.0,1649204.0,2581.075497683736
74,81,15,15,161,7,Normal,40.5,1610,44000,0,1757100,65546.5,1691553.5,2580.692332923955
75,72,9,9,161,7,Normal,36.0,1610,44450,0,1801550,67192.5,1734357.5,2581.1772147189045
76,64,8,8,161,7,Normal,32.0,1610,44850,0,1846400,68834.5,1777565.5,2582.3758435087057
77,57,7,7,161,7,Normal,28.5,1610,45200,0,1891600,70473.0,1821127.0,2584.1485391568403
78,57,0,0,161,7,Normal,28.5,1610,45200,0,1936800,72111.5,1864688.5,2585.840677284483
79,39,18,18,161,7,Normal,19.5,1610,46100,0,1982900,73741.0,1909159.0,2589.0061160005966
80,32,7,7,161,7,Normal,16.0,1610,46450,0,2029350,75367.0,1953983.0,2592.624092772699
81,20,12,12,161,7,Normal,10.0,1610,47050,0,2076400,76987.0,1999413.0,2597.0787275773832
82,3,17,17,161,7,Normal,1.5,1610,47900,0,2124300,78598.5,2045701.5,2602.723334414779
83,0,3,3,161,7,Normal,0.0,1610,48050,0,2172350,80208.5,2092141.5,2608.378787784337
84,0,4,4,165,7,Normal,0.0,1650,48250,0,2220600,81858.5,2138741.5,2612.7298936579587
85,100,16,16,181,8,Normal,50.0,1810,49050,0,2269650,83718.5,2185931.5,2611.049529076608
86,79,21,21,181,8,Normal,39.5,1810,50100,0,2319750,85568.0,2234182.0,2611.001776364996
87,79,0,0,181,8,Normal,39.5,1810,50100,0,2369850,87417.5,2282432.5,2610.956044270312
88,73,6,6,181,8,Normal,36.5,1810,50400,0,2420250,89264.0,2330986.0,2611.339397741531
89,65,8,8,181,8,Normal,32.5,1810,50800,0,2471050,91106.5,2379943.5,2612.2653158665958
90,61,4,4,181,8,Normal,30.5,1810,51000,0,2522050,92947.0,2429103.0,2613.4280826707695
91,44,17,17,181,8,Normal,22.0,1810,51850,0,2573900,94779.0,2479121.0,2615.6859641903798
92,44,0,0,181,8,Normal,22.0,1810,51850,0,2625750,96611.0,2529139.0,2617.858214903065
93,31,13,13,181,8,Normal,15.5,1810,52500,0,2678250,98436.5,2579813.5,2620.7895445287063
94,11,20,20,181,8,Normal,5.5,1810,53500,0,2731750,100252.0,2631498.0,2624.883294098871
95,2,9,9,181,8,Normal,1.0,1810,53950,0,2785700,102063.0,2683637.0,2629.392630042229
96,100,28,28,207,9,Normal,50.0,2070,55350,0,2841050,104183.0,2736867.0,2626.9804094717947
97,95,5,5,207,9,Normal,47.5,2070,55600,0,2896650,106300.5,2790349.5,2624.963664328954
98,81,14,14,207,9,Normal,40.5,2070,56300,0,2952950,108411.0,2844539.0,2623.847211076367
99,76,5,5,207,9,Normal,38.0,2070,56550,0,3009500,110519.0,2898981.0,2623.0611930980194

# Data Generation Specifications
SEASONALITY_FACTOR: 5
TREND_FACTOR: 0.05
VOLATILITY: 5
SHOCK_PROBABILITY: 0.15
SEED: 1
